customer_id,name,email,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,churn_probability,churn,location_lat,location_lon
CUST-10018,Jennifer Rodriguez,jennifer.rodriguez@example.com,50,93.05,4652.5,Two year,Credit card,1,Yes,No,0.1221,0,37.91551,-122.39565
CUST-10019,Jessica Johnson,jessica.johnson@example.com,21,105.27,2210.67,One year,Mailed check,1,Yes,Yes,0.4269,0,37.8803,-122.54884
CUST-10020,Robert Davis,robert.davis@example.com,19,23.97,455.43,Month-to-month,Electronic check,1,No,No,0.7336,1,37.78173,-122.28899
CUST-10021,Richard Hernandez,richard.hernandez@example.com,8,51.62,412.96,Month-to-month,Electronic check,1,No,Yes,0.858,1,37.7938,-122.53941
CUST-10022,Jessica Miller,jessica.miller@example.com,25,44.43,1110.75,One year,Bank transfer,1,Yes,Yes,0.1445,0,37.83596,-122.3859
CUST-10023,Susan Smith,susan.smith@example.com,40,107.81,4312.4,One year,Bank transfer,1,No internet service,Yes,0.1809,1,37.79087,-122.4877
CUST-10024,Karen Miller,karen.miller@example.com,29,68.85,1996.65,One year,Electronic check,1,No,Yes,0.3194,0,37.7079,-122.56834
CUST-10025,William Rodriguez,william.rodriguez@example.com,8,31.19,249.52,Month-to-month,Mailed check,1,No,No,0.8688,1,37.79965,-122.52497
CUST-10026,William Johnson,william.johnson@example.com,17,109.89,1868.13,Month-to-month,Mailed check,0,No,No,0.9461,1,37.731,-122.40143
CUST-10027,Linda Martin,linda.martin@example.com,59,99.99,5899.41,One year,Mailed check,0,Yes,Yes,0.0505,1,37.84587,-122.46974
CUST-10028,Linda Davis,linda.davis@example.com,14,105.86,1482.04,Month-to-month,Mailed check,1,Yes,No,0.8988,0,37.7298,-122.32324
CUST-10029,Joseph Davis,joseph.davis@example.com,5,116.69,583.45,Month-to-month,Bank transfer,1,No,No,0.9781,1,37.82876,-122.3163
CUST-10030,Mary Smith,mary.smith@example.com,20,46.55,931.0,Month-to-month,Electronic check,1,Yes,No internet service,0.5244,1,37.86083,-122.43848
CUST-10031,Susan Brown,susan.brown@example.com,10,20.17,201.7,Month-to-month,Mailed check,1,Yes,No,0.6763,1,37.82417,-122.47034
CUST-10032,Mary Brown,mary.brown@example.com,32,60.24,1927.68,One year,Bank transfer,1,Yes,Yes,0.1269,0,37.82438,-122.45566
CUST-10033,David Martin,david.martin@example.com,36,41.02,1476.72,One year,Bank transfer,1,No,Yes,0.1444,0,37.68901,-122.42744
CUST-10034,David Williams,david.williams@example.com,12,115.2,1382.4,Month-to-month,Mailed check,0,No,Yes,0.9429,1,37.68464,-122.56207
CUST-10035,Joseph Thomas,joseph.thomas@example.com,49,77.57,3800.93,One year,Credit card,1,Yes,No,0.0984,0,37.82172,-122.56774
CUST-10036,Michael Wilson,michael.wilson@example.com,14,75.74,1060.36,Month-to-month,Electronic check,1,No,No,0.9154,1,37.82517,-122.27303
CUST-10037,Karen Hernandez,karen.hernandez@example.com,56,70.48,3946.88,Two year,Credit card,0,No,No,0.1167,0,37.7673,-122.49164
CUST-10038,Joseph Rodriguez,joseph.rodriguez@example.com,39,27.75,1082.25,One year,Bank transfer,1,No,Yes,0.0958,0,37.89281,-122.54523
CUST-10039,William Davis,william.davis@example.com,5,53.09,265.45,Month-to-month,Credit card,1,Yes,No,0.8492,1,37.75094,-122.29795
CUST-10040,Sarah Smith,sarah.smith@example.com,49,55.18,2703.82,Two year,Credit card,0,Yes,Yes,0.0406,0,37.75061,-122.34515
CUST-10041,Jessica Martin,jessica.martin@example.com,38,58.89,2237.82,Two year,Credit card,0,Yes,Yes,0.0866,0,37.90076,-122.27518
CUST-10042,Jessica Smith,jessica.smith@example.com,42,62.86,2640.12,Two year,Credit card,1,No,Yes,0.149,0,37.72311,-122.43299
CUST-10043,Mary Gonzalez,mary.gonzalez@example.com,19,67.03,1273.57,Month-to-month,Electronic check,0,No,No,0.8669,1,37.81994,-122.33503
CUST-10044,John Smith,john.smith@example.com,28,32.62,913.36,Two year,Electronic check,1,Yes,Yes,0.0985,0,37.83474,-122.33933
CUST-10045,David Martin,david.martin@example.com,48,116.47,5590.56,One year,Electronic check,1,Yes,No,0.2025,0,37.79764,-122.29699
CUST-10046,Jennifer Gonzalez,jennifer.gonzalez@example.com,28,44.28,1239.84,Two year,Bank transfer,0,Yes,No,0.1853,0,37.66122,-122.27425
CUST-10047,John Lopez,john.lopez@example.com,44,21.27,935.88,One year,Credit card,0,Yes,No,0.0471,0,37.91314,-122.37872
CUST-10048,Elizabeth Jones,elizabeth.jones@example.com,13,100.82,1310.66,Month-to-month,Credit card,1,No internet service,Yes,0.8389,1,37.80264,-122.47271
CUST-10049,Joseph Williams,joseph.williams@example.com,8,86.82,694.56,Month-to-month,Bank transfer,1,No,No,0.9527,1,37.67945,-122.50576
CUST-10050,Thomas Hernandez,thomas.hernandez@example.com,11,71.66,788.26,Month-to-month,Mailed check,1,No,No,0.9241,1,37.77147,-122.34195
CUST-10051,Barbara Thomas,barbara.thomas@example.com,2,44.33,88.66,Month-to-month,Bank transfer,1,Yes,No,0.8524,1,37.75255,-122.34562
CUST-10052,Mary Lopez,mary.lopez@example.com,31,39.26,1217.06,One year,Electronic check,0,Yes,Yes,0.0927,0,37.83195,-122.51194
CUST-10053,Barbara Rodriguez,barbara.rodriguez@example.com,64,30.05,1923.2,One year,Mailed check,1,Yes,Yes,0.0093,0,37.71558,-122.35699
CUST-10054,William Rodriguez,william.rodriguez@example.com,3,83.79,251.37,Month-to-month,Credit card,1,Yes,No internet service,0.8782,1,37.7102,-122.42579
CUST-10055,Mary Garcia,mary.garcia@example.com,31,26.53,822.43,Two year,Credit card,1,No,Yes,0.1498,0,37.64098,-122.52464
CUST-10056,Sarah Martinez,sarah.martinez@example.com,6,79.61,477.66,Month-to-month,Mailed check,0,No,No,0.9522,1,37.89745,-122.48019
CUST-10057,Sarah Wilson,sarah.wilson@example.com,11,114.76,1262.36,Month-to-month,Mailed check,0,No,No,0.9665,1,37.64926,-122.49744
CUST-10058,Jessica Williams,jessica.williams@example.com,8,23.26,186.08,Month-to-month,Bank transfer,0,No,No,0.8497,1,37.76111,-122.36318
CUST-10059,Thomas Jackson,thomas.jackson@example.com,60,84.76,5085.6,One year,Bank transfer,0,Yes,Yes,0.0354,0,37.67468,-122.47712
CUST-10060,Sarah Martinez,sarah.martinez@example.com,9,47.22,424.98,Month-to-month,Credit card,1,No,No,0.8951,1,37.89173,-122.34904
CUST-10061,Karen Rodriguez,karen.rodriguez@example.com,6,78.71,472.26,Month-to-month,Electronic check,0,No,No,0.9514,1,37.70575,-122.55733
CUST-10062,David Thomas,david.thomas@example.com,37,63.59,2352.83,One year,Credit card,0,Yes,No internet service,0.1002,0,37.7474,-122.47308
CUST-10063,Michael Garcia,michael.garcia@example.com,12,101.36,1216.32,Month-to-month,Electronic check,1,Yes,No internet service,0.8491,1,37.72188,-122.27834
CUST-10064,Jennifer Taylor,jennifer.taylor@example.com,13,25.42,330.46,Two year,Bank transfer,0,No,Yes,0.3639,0,37.75751,-122.55392
CUST-10065,Thomas Moore,thomas.moore@example.com,6,22.89,137.34,Month-to-month,Mailed check,0,No,No,0.865,1,37.629,-122.447
CUST-10066,Joseph Brown,joseph.brown@example.com,4,91.66,366.64,Month-to-month,Bank transfer,1,No,No,0.9666,1,37.76657,-122.43236
CUST-10067,William Gonzalez,william.gonzalez@example.com,11,26.98,296.78,Month-to-month,Credit card,1,No,Yes,0.7514,0,37.70505,-122.56863
CUST-10068,Charles Jackson,charles.jackson@example.com,44,68.43,3010.92,One year,Bank transfer,1,No,Yes,0.1462,0,37.7615,-122.47287
CUST-10069,Richard Davis,richard.davis@example.com,30,94.47,2834.1,One year,Credit card,1,No,Yes,0.423,0,37.87112,-122.27515
CUST-10070,Barbara Johnson,barbara.johnson@example.com,20,104.5,2090.0,Month-to-month,Electronic check,1,No,Yes,0.8866,1,37.84163,-122.44641
CUST-10071,William Williams,william.williams@example.com,20,84.98,1699.6,Month-to-month,Bank transfer,0,No,No,0.8972,1,37.7389,-122.4744
CUST-10072,Barbara Moore,barbara.moore@example.com,3,119.74,359.22,Month-to-month,Electronic check,1,No,No internet service,0.9705,1,37.81502,-122.30763
CUST-10073,Elizabeth Garcia,elizabeth.garcia@example.com,57,49.34,2812.38,One year,Bank transfer,1,Yes,No,0.0351,0,37.74852,-122.36486
CUST-10074,David Garcia,david.garcia@example.com,11,69.77,767.47,Month-to-month,Mailed check,1,No,No,0.9214,1,37.76277,-122.36935
CUST-10075,Elizabeth Martinez,elizabeth.martinez@example.com,27,78.76,2126.52,One year,Credit card,0,Yes,Yes,0.2271,0,37.71554,-122.26959
CUST-10076,Barbara Brown,barbara.brown@example.com,10,49.52,495.2,Month-to-month,Credit card,1,No,No internet service,0.8353,1,37.83064,-122.346
CUST-10077,John Martin,john.martin@example.com,52,43.01,2236.52,One year,Bank transfer,1,No internet service,No,0.0428,0,37.70009,-122.34273
CUST-10078,William Brown,william.brown@example.com,44,77.96,3430.24,Two year,Mailed check,1,Yes,Yes,0.0852,0,37.84914,-122.51671
CUST-10079,William Moore,william.moore@example.com,34,36.45,1239.3,Two year,Credit card,0,Yes,Yes,0.0733,0,37.88602,-122.32813
CUST-10080,Elizabeth Williams,elizabeth.williams@example.com,20,117.99,2359.8,Month-to-month,Bank transfer,1,No,No,0.9441,1,37.70424,-122.53232
CUST-10081,Patricia Rodriguez,patricia.rodriguez@example.com,52,43.38,2255.76,One year,Electronic check,0,No internet service,Yes,0.0266,0,37.7233,-122.38638
CUST-10082,Robert Anderson,robert.anderson@example.com,32,114.63,3668.16,Two year,Bank transfer,0,Yes,Yes,0.3014,1,37.69534,-122.40814
CUST-10083,Jennifer Anderson,jennifer.anderson@example.com,19,78.73,1495.87,Month-to-month,Mailed check,0,No,No,0.8917,1,37.87501,-122.3847
CUST-10084,Thomas Johnson,thomas.johnson@example.com,29,56.27,1631.83,One year,Bank transfer,1,Yes,Yes,0.1409,0,37.7325,-122.44996
CUST-10085,Richard Brown,richard.brown@example.com,52,83.95,4365.4,Two year,Electronic check,1,Yes,Yes,0.058,0,37.92155,-122.33331
CUST-10086,Richard Williams,richard.williams@example.com,40,43.3,1732.0,Two year,Mailed check,0,Yes,No,0.0911,0,37.70808,-122.27419
CUST-10087,William Moore,william.moore@example.com,5,21.49,107.45,Month-to-month,Mailed check,1,No,Yes,0.8016,1,37.70451,-122.53137
CUST-10088,Linda Taylor,linda.taylor@example.com,3,79.37,238.11,Month-to-month,Credit card,1,No,No,0.9604,1,37.63791,-122.33443
CUST-10089,Susan Martinez,susan.martinez@example.com,20,60.16,1203.2,Month-to-month,Electronic check,1,Yes,No,0.7047,0,37.64695,-122.54516
CUST-10090,Karen Jones,karen.jones@example.com,6,52.52,315.12,Month-to-month,Bank transfer,1,No,No,0.9206,1,37.65465,-122.35887
CUST-10091,Jessica Miller,jessica.miller@example.com,17,59.87,1017.79,Month-to-month,Electronic check,1,No,No,0.8658,1,37.70137,-122.28332
CUST-10092,Barbara Williams,barbara.williams@example.com,4,57.26,229.04,Month-to-month,Mailed check,1,No,No,0.9357,1,37.79338,-122.47051
CUST-10093,Michael Wilson,michael.wilson@example.com,12,92.11,1105.32,Month-to-month,Bank transfer,0,No,No,0.9449,1,37.79828,-122.50558
CUST-10094,Barbara Davis,barbara.davis@example.com,34,47.86,1627.24,Two year,Mailed check,0,Yes,Yes,0.0903,0,37.91726,-122.32387
CUST-10095,Karen Moore,karen.moore@example.com,18,38.04,684.72,Month-to-month,Bank transfer,0,No,Yes,0.7028,1,37.67932,-122.52642
CUST-10096,Jennifer Williams,jennifer.williams@example.com,11,41.51,456.61,Month-to-month,Credit card,1,Yes,No,0.7497,1,37.71839,-122.47209
CUST-10097,Sarah Martin,sarah.martin@example.com,3,87.4,262.2,Month-to-month,Bank transfer,1,Yes,No,0.9274,1,37.80702,-122.44514
CUST-10098,Richard Taylor,richard.taylor@example.com,8,68.66,549.28,Month-to-month,Bank transfer,1,Yes,No,0.8629,1,37.8047,-122.56709
CUST-10099,Charles Miller,charles.miller@example.com,49,69.74,3417.26,One year,Credit card,1,Yes,Yes,0.0536,0,37.836,-122.41932
CUST-10100,Patricia Williams,patricia.williams@example.com,13,27.79,361.27,Month-to-month,Bank transfer,1,No,No,0.8159,1,37.83775,-122.44409
CUST-10101,Michael Gonzalez,michael.gonzalez@example.com,7,103.2,722.4,Month-to-month,Bank transfer,1,No,No,0.9676,1,37.69789,-122.39274
CUST-10102,Susan Williams,susan.williams@example.com,7,36.81,257.67,Month-to-month,Electronic check,1,No,No,0.8879,1,37.85777,-122.46407
CUST-10103,William Davis,william.davis@example.com,6,95.92,575.52,Month-to-month,Electronic check,1,Yes,Yes,0.8827,1,37.77314,-122.34307
CUST-10104,Sarah Anderson,sarah.anderson@example.com,56,52.32,2929.92,One year,Bank transfer,1,No,No internet service,0.0528,0,37.75756,-122.47855
CUST-10105,Thomas Jackson,thomas.jackson@example.com,9,25.69,231.21,Month-to-month,Bank transfer,1,No,No,0.8473,0,37.88149,-122.3849
CUST-10106,Susan Gonzalez,susan.gonzalez@example.com,10,64.97,649.7,Month-to-month,Mailed check,1,No,No,0.9193,1,37.67016,-122.55084
CUST-10107,Michael Hernandez,michael.hernandez@example.com,23,90.76,2087.48,Two year,Credit card,1,No,Yes,0.5205,0,37.73407,-122.29402
CUST-10108,Jennifer Wilson,jennifer.wilson@example.com,45,53.46,2405.7,One year,Bank transfer,1,Yes,No,0.0809,0,37.71014,-122.35228
CUST-10109,Karen Jones,karen.jones@example.com,10,116.77,1167.7,Month-to-month,Credit card,1,Yes,No,0.9352,1,37.65032,-122.40172
CUST-10110,Mary Jones,mary.jones@example.com,52,72.64,3777.28,One year,Credit card,1,No,No,0.1527,1,37.71756,-122.28405
CUST-10111,Mary Thomas,mary.thomas@example.com,23,98.81,2272.63,Month-to-month,Electronic check,0,Yes,Yes,0.7197,0,37.81031,-122.39023
CUST-10112,William Garcia,william.garcia@example.com,12,92.12,1105.44,Month-to-month,Electronic check,1,No,No internet service,0.9123,1,37.69616,-122.43614
CUST-10113,Charles Anderson,charles.anderson@example.com,6,110.4,662.4,Month-to-month,Mailed check,1,No internet service,No,0.9431,0,37.92023,-122.4309
CUST-10114,Charles Gonzalez,charles.gonzalez@example.com,36,80.47,2896.92,One year,Bank transfer,1,Yes,Yes,0.143,0,37.73626,-122.28911
CUST-10115,Susan Brown,susan.brown@example.com,14,34.73,486.22,Month-to-month,Credit card,1,Yes,No internet service,0.5649,0,37.86991,-122.30401
CUST-10116,James Wilson,james.wilson@example.com,9,57.49,517.41,Month-to-month,Electronic check,1,Yes,No internet service,0.7407,1,37.83931,-122.46881
CUST-10117,William Jones,william.jones@example.com,18,95.88,1725.84,Month-to-month,Credit card,1,No,No,0.9254,1,37.64867,-122.49262
CUST-10118,William Moore,william.moore@example.com,42,43.76,1837.92,Two year,Electronic check,1,Yes,No,0.0813,0,37.86307,-122.43227
CUST-10119,Michael Thomas,michael.thomas@example.com,16,34.36,549.76,One year,Credit card,1,Yes,Yes,0.2011,0,37.7961,-122.51321
CUST-10120,Robert Taylor,robert.taylor@example.com,21,118.83,2495.43,Two year,Electronic check,1,Yes,Yes,0.4942,1,37.8156,-122.27509
CUST-10121,Thomas Smith,thomas.smith@example.com,3,30.37,91.11,Month-to-month,Bank transfer,1,Yes,No,0.8034,1,37.72646,-122.37656
CUST-10122,Elizabeth Thomas,elizabeth.thomas@example.com,51,65.77,3354.27,One year,Bank transfer,1,Yes,No,0.0701,0,37.89064,-122.47472
CUST-10123,Charles Taylor,charles.taylor@example.com,15,84.69,1270.35,Month-to-month,Bank transfer,1,No,Yes,0.8801,1,37.88464,-122.46982
CUST-10124,Michael Lopez,michael.lopez@example.com,8,53.9,431.2,Month-to-month,Mailed check,1,No,No internet service,0.8635,1,37.90219,-122.41362
CUST-10125,Robert Wilson,robert.wilson@example.com,11,52.12,573.32,Month-to-month,Electronic check,1,No,No,0.8918,1,37.75867,-122.3541
CUST-10126,David Anderson,david.anderson@example.com,3,119.82,359.46,Month-to-month,Bank transfer,0,No,No,0.982,1,37.64211,-122.36804
CUST-10127,Jennifer Lopez,jennifer.lopez@example.com,48,104.87,5033.76,One year,Credit card,1,Yes,Yes,0.1088,1,37.85845,-122.4595
CUST-10128,Jennifer Jackson,jennifer.jackson@example.com,5,64.39,321.95,Month-to-month,Electronic check,1,No,No,0.9402,1,37.74431,-122.37453
CUST-10129,Joseph Brown,joseph.brown@example.com,5,31.78,158.9,Month-to-month,Bank transfer,0,No,No internet service,0.8323,1,37.80846,-122.36121
CUST-10130,Barbara Miller,barbara.miller@example.com,16,64.51,1032.16,Month-to-month,Electronic check,0,No,No,0.8832,0,37.92087,-122.36905
CUST-10131,Robert Moore,robert.moore@example.com,56,112.73,6312.88,One year,Mailed check,0,No,No,0.2353,0,37.66131,-122.50911
CUST-10132,William Davis,william.davis@example.com,18,100.37,1806.66,One year,Mailed check,0,Yes,Yes,0.452,1,37.71769,-122.26952
CUST-10133,Barbara Taylor,barbara.taylor@example.com,8,51.7,413.6,Month-to-month,Electronic check,1,No,Yes,0.8582,1,37.72825,-122.30601
CUST-10134,Jessica Jackson,jessica.jackson@example.com,20,25.54,510.8,Month-to-month,Electronic check,1,No,No internet service,0.6171,1,37.67349,-122.28898
CUST-10135,Joseph Lopez,joseph.lopez@example.com,39,39.63,1545.57,Two year,Bank transfer,1,Yes,Yes,0.0569,0,37.78494,-122.41863
CUST-10136,David Jackson,david.jackson@example.com,26,80.51,2093.26,Two year,Electronic check,0,No,No,0.5441,1,37.63854,-122.37696
CUST-10137,Sarah Rodriguez,sarah.rodriguez@example.com,49,69.8,3420.2,One year,Bank transfer,0,Yes,No,0.0854,0,37.69836,-122.3272
CUST-10138,Jennifer Martinez,jennifer.martinez@example.com,12,66.44,797.28,Month-to-month,Bank transfer,0,Yes,No,0.8218,1,37.84041,-122.34914
CUST-10139,Patricia Gonzalez,patricia.gonzalez@example.com,7,66.65,466.55,Month-to-month,Bank transfer,1,No,No,0.935,1,37.64008,-122.28578
CUST-10140,Karen Wilson,karen.wilson@example.com,16,77.77,1244.32,Month-to-month,Bank transfer,1,Yes,No,0.8159,1,37.92369,-122.42936
CUST-10141,Charles Thomas,charles.thomas@example.com,19,41.51,788.69,Month-to-month,Bank transfer,1,No,No internet service,0.7034,1,37.80416,-122.31655
CUST-10142,Barbara Martinez,barbara.martinez@example.com,53,92.75,4915.75,One year,Credit card,1,Yes,No,0.1017,0,37.79598,-122.511
CUST-10143,Jessica Martinez,jessica.martinez@example.com,9,118.91,1070.19,Month-to-month,Electronic check,1,No,Yes,0.956,1,37.73686,-122.27336
CUST-10144,Jessica Lopez,jessica.lopez@example.com,28,24.53,686.84,One year,Mailed check,0,Yes,Yes,0.085,0,37.7807,-122.52472
CUST-10145,Susan Jones,susan.jones@example.com,11,93.93,1033.23,Month-to-month,Bank transfer,1,Yes,No internet service,0.8383,1,37.77781,-122.42245
CUST-10146,Sarah Martinez,sarah.martinez@example.com,2,61.65,123.3,Month-to-month,Bank transfer,0,No,Yes,0.9168,1,37.83131,-122.56141
CUST-10147,Barbara Rodriguez,barbara.rodriguez@example.com,50,92.14,4607.0,Two year,Credit card,1,No,Yes,0.1557,0,37.81082,-122.31705
CUST-10148,William Davis,william.davis@example.com,19,51.37,976.03,Month-to-month,Mailed check,1,Yes,Yes,0.5648,1,37.77545,-122.38596
CUST-10149,Barbara Johnson,barbara.johnson@example.com,39,67.84,2645.76,One year,Credit card,1,Yes,No internet service,0.0959,0,37.89854,-122.4667
CUST-10150,Patricia Rodriguez,patricia.rodriguez@example.com,28,42.49,1189.72,One year,Bank transfer,0,Yes,Yes,0.1174,0,37.83197,-122.4227
CUST-10151,Barbara Lopez,barbara.lopez@example.com,60,77.35,4641.0,One year,Credit card,0,No,Yes,0.0658,0,37.72844,-122.33748
CUST-10152,William Martinez,william.martinez@example.com,19,85.6,1626.4,Month-to-month,Credit card,1,Yes,No internet service,0.7202,0,37.70624,-122.40079
CUST-10153,Thomas Jones,thomas.jones@example.com,13,110.52,1436.76,Month-to-month,Mailed check,0,Yes,Yes,0.8634,1,37.74889,-122.35419
CUST-10154,Michael Jones,michael.jones@example.com,10,113.5,1135.0,Month-to-month,Credit card,1,No internet service,No,0.9311,1,37.91407,-122.47305
CUST-10155,John Williams,john.williams@example.com,30,23.73,711.9,One year,Mailed check,1,No,No,0.227,0,37.90508,-122.5585
CUST-10156,Jennifer Thomas,jennifer.thomas@example.com,13,23.75,308.75,Month-to-month,Bank transfer,1,No,Yes,0.7127,1,37.9198,-122.48403
CUST-10157,Jessica Taylor,jessica.taylor@example.com,18,39.28,707.04,Month-to-month,Electronic check,1,No,No,0.7999,1,37.81939,-122.35382
CUST-10158,James Hernandez,james.hernandez@example.com,41,105.61,4330.01,One year,Credit card,0,No,Yes,0.3055,0,37.65092,-122.36862
CUST-10159,David Jones,david.jones@example.com,18,64.67,1164.06,Month-to-month,Bank transfer,0,Yes,No,0.749,1,37.84176,-122.56597
CUST-10160,Patricia Davis,patricia.davis@example.com,4,70.25,281.0,Month-to-month,Bank transfer,0,No,No,0.9497,1,37.90709,-122.45914
CUST-10161,Joseph Davis,joseph.davis@example.com,38,57.36,2179.68,Two year,Credit card,0,Yes,No internet service,0.0842,0,37.87258,-122.34084
CUST-10162,Karen Williams,karen.williams@example.com,40,31.22,1248.8,One year,Mailed check,1,Yes,No internet service,0.0456,0,37.72334,-122.4133
CUST-10163,Michael Miller,michael.miller@example.com,38,25.56,971.28,One year,Mailed check,1,No,Yes,0.0978,0,37.64222,-122.43069
CUST-10164,Charles Smith,charles.smith@example.com,15,24.53,367.95,Month-to-month,Bank transfer,0,No,No,0.7842,1,37.64298,-122.30113
CUST-10165,Barbara Johnson,barbara.johnson@example.com,5,92.93,464.65,Month-to-month,Credit card,1,Yes,No,0.9259,1,37.75946,-122.29427
CUST-10166,Jennifer Gonzalez,jennifer.gonzalez@example.com,20,106.03,2120.6,Month-to-month,Electronic check,1,No,Yes,0.8897,1,37.78355,-122.35104
CUST-10167,Joseph Smith,joseph.smith@example.com,65,62.41,4056.65,One year,Credit card,0,Yes,No,0.027,0,37.72875,-122.48671
CUST-10168,Michael Johnson,michael.johnson@example.com,36,21.56,776.16,Two year,Mailed check,1,No,No,0.1586,0,37.75883,-122.36779
CUST-10169,John Davis,john.davis@example.com,36,106.37,3829.32,One year,Electronic check,1,Yes,Yes,0.2188,0,37.69515,-122.29448
CUST-10170,Sarah Hernandez,sarah.hernandez@example.com,49,107.63,5273.87,One year,Mailed check,1,No,Yes,0.2118,0,37.79192,-122.3919
CUST-10171,David Wilson,david.wilson@example.com,20,58.12,1162.4,One year,Bank transfer,0,Yes,No,0.3383,0,37.71487,-122.51424
CUST-10172,Jessica Thomas,jessica.thomas@example.com,6,66.3,397.8,Month-to-month,Electronic check,1,No,Yes,0.9026,0,37.79209,-122.52917
CUST-10173,Joseph Rodriguez,joseph.rodriguez@example.com,11,29.25,321.75,Month-to-month,Mailed check,1,No internet service,No,0.7009,1,37.80639,-122.55754
CUST-10174,Robert Miller,robert.miller@example.com,42,40.89,1717.38,Two year,Bank transfer,1,No,Yes,0.1014,0,37.68844,-122.51239
CUST-10175,Michael Thomas,michael.thomas@example.com,46,43.93,2020.78,Two year,Bank transfer,0,No,Yes,0.0841,0,37.785,-122.46162
CUST-10176,Thomas Lopez,thomas.lopez@example.com,39,66.95,2611.05,One year,Bank transfer,0,Yes,No internet service,0.0944,0,37.74908,-122.40064
CUST-10177,Joseph Jones,joseph.jones@example.com,10,49.52,495.2,Month-to-month,Mailed check,1,No,No,0.8932,1,37.87491,-122.41961
CUST-10178,Mary Rodriguez,mary.rodriguez@example.com,38,66.08,2511.04,One year,Bank transfer,1,No,No,0.2866,0,37.77139,-122.29433
CUST-10179,Jessica Johnson,jessica.johnson@example.com,53,24.85,1317.05,One year,Electronic check,1,Yes,No,0.0283,0,37.69433,-122.35725
CUST-10180,James Miller,james.miller@example.com,35,81.65,2857.75,One year,Credit card,0,No,No,0.4012,1,37.78456,-122.446
CUST-10181,James Taylor,james.taylor@example.com,40,89.79,3591.6,One year,Credit card,0,Yes,Yes,0.1334,0,37.657,-122.54051
CUST-10182,William Davis,william.davis@example.com,9,59.69,537.21,Month-to-month,Bank transfer,0,No,Yes,0.8692,1,37.69786,-122.36023
CUST-10183,Charles Williams,charles.williams@example.com,54,57.93,3128.22,One year,Credit card,1,No,Yes,0.0665,1,37.67632,-122.41944
CUST-10184,Linda Hernandez,linda.hernandez@example.com,54,24.26,1310.04,One year,Mailed check,0,Yes,Yes,0.0161,0,37.79494,-122.48807
CUST-10185,Robert Rodriguez,robert.rodriguez@example.com,41,51.45,2109.45,Two year,Mailed check,1,Yes,No internet service,0.0627,0,37.83871,-122.44991
